annotation	emp_pval	enrich_per_mean_diff_by_genomstd	error	matched_25th	matched_5th	matched_75th	matched_95th	mean_matched_across_trait_loci	mean_trait_loci	median_matched_loci	median_trait_loci	n_lead_loci_final	n_lead_snp	n_matched_sets	partition_id	percent_matched_and_ld_removed	percent_trait_and_ld_snps_removed	regions_summary	std_matched_across_trait_loci	trait_name	trait_summary
phastCon100	0.0	0.5216510990707695	False	0.13711556506610284	0.13101226409402658	0.14573152155176322	0.1526090397370851	0.14152873651256395	0.24009281437125748	0.14141376394143512	0.014	1336	1340	5000	(-0.165814, -0.02137138]	4.439131385720981	0.21871582565224185	extreme	0.00655256825013632	gene_dens_25	mean
phastCon100	0.0	0.48030063748750546	False	0.16080833032355665	0.15442597709156078	0.16985317135698685	0.17654340188135126	0.16533664760755548	0.2560877061469265	0.1653681227195934	0.022	1334	1339	5000	(-0.02137138, -0.011714439999999998]	4.46576215582894	0.2460456942003515	extreme	0.00669199470996779	gene_dens_25	mean
phastCon100	0.0	0.38234302105199613	False	0.1446919136330901	0.13823901371628633	0.15335393668913827	0.15988969105039896	0.14899402683933083	0.22123635003739717	0.1488849479550856	0.011	1337	1339	5000	(-0.011714439999999998, 0.01125456]	5.382139973082099	0.21534320323014802	extreme	0.0065697818792486585	gene_dens_25	mean
phastCon100	0.0	0.48241018660156687	False	0.17094234088843038	0.16448141278223388	0.18003629291602502	0.18679391549215732	0.1755475699634595	0.26669722013523667	0.1754764579907323	0.018000000000000002	1331	1339	5000	(0.01125456, 0.020109940000000003]	4.008118126272913	0.3869653767820774	extreme	0.006746605055467746	gene_dens_25	mean
phastCon100	0.0	0.5647422079482224	False	0.14104148599113436	0.13474578509131535	0.1498663916681795	0.15632437316834905	0.14547426814737346	0.25218025430067315	0.1453445159757718	0.014	1337	1340	5000	(0.020109940000000003, 0.141562]	4.36479088639201	0.12484394506866417	extreme	0.006487235206245901	gene_dens_25	mean
argweave	0.0014	-0.06680616395899093	False	55644.14885336205	54834.52063192682	56818.517277153565	57695.528873696974	56232.34380768981	53697.23811940298	56191.268833316535	48439.25	1340	1340	5000	(-0.165814, -0.02137138]	3.295588189345415	0.0	extreme	863.1039308603623	gene_dens_25	mean
argweave	0.0356	-0.041705075748446875	False	61228.6335696033	60397.838707009374	62447.28039507958	63320.81664809275	61844.94056396007	60262.350448095596	61851.139436564714	53791.8	1339	1339	5000	(-0.02137138, -0.011714439999999998]	3.393773872290568	0.0	extreme	893.7691574052643	gene_dens_25	mean
argweave	0.014	-0.05103269011576941	False	62404.14384628509	61560.66223790639	63649.94751482311	64545.44737115604	63033.82536558527	61097.2785660941	63019.938735566466	55310.5	1339	1339	5000	(-0.011714439999999998, 0.01125456]	4.337052489905787	0.0	extreme	905.5014452712561	gene_dens_25	mean
argweave	0.0	-0.09329891445764843	False	62402.99613346775	61537.939708145655	63663.35921297854	64615.37509627189	63040.194832195615	59499.763908819135	63034.98889175651	53993.350000000006	1338	1339	5000	(0.01125456, 0.020109940000000003]	2.9623421588594705	0.010183299389002037	extreme	932.9892978303568	gene_dens_25	mean
argweave	0.034	-0.04124735417787912	False	56112.65946584499	55298.56921335581	57307.05084674146	58187.487734011105	56711.8806853768	55146.65981343284	56685.3067431326	49278.4	1340	1340	5000	(0.020109940000000003, 0.141562]	3.2702465667915104	0.0	extreme	883.4454489767658	gene_dens_25	mean
fst_eur_afr	0.3028	-0.011177937337398879	False	0.0642365851541791	0.06201374198154777	0.06760926126986941	0.07009175023179105	0.0659543933716668	0.06464073763985075	0.06594202926037314	0.02900465	1340	1340	5000	(-0.165814, -0.02137138]	3.1674394625839715	0.0	extreme	0.00246336404932129	gene_dens_25	mean
fst_eur_afr	0.0	0.17579010770200953	False	0.11947919450189133	0.11626265852104017	0.12394019710965924	0.12731105063394063	0.12173737010275013	0.14239660942471993	0.1217103137940583	0.0943991	1339	1339	5000	(-0.02137138, -0.011714439999999998]	3.2845342706502634	0.0	extreme	0.0033323979322344333	gene_dens_25	mean
fst_eur_afr	0.0	0.1570394042604201	False	0.13729423496766244	0.1339017771266422	0.14219345913221074	0.14567459793928864	0.13975103061846333	0.15820664611359223	0.13967554381533298	0.12745499999999998	1339	1339	5000	(-0.011714439999999998, 0.01125456]	4.235889636608345	0.0	extreme	0.003568215687047477	gene_dens_25	mean
fst_eur_afr	0.0	0.1399134263142195	False	0.12443551346316842	0.12113733138963004	0.12892542578191002	0.13228533969130282	0.12670252547027852	0.1431454584451083	0.12667025351039957	0.102848	1339	1339	5000	(0.01125456, 0.020109940000000003]	2.854405295315682	0.0	extreme	0.003372627277065074	gene_dens_25	mean
fst_eur_afr	0.197	0.018041890644449717	False	0.07034626166318741	0.0680052774447878	0.07376846965295486	0.07630221301884561	0.07209147531431852	0.07421179790537313	0.07207213102911393	0.035839	1340	1340	5000	(0.020109940000000003, 0.141562]	3.1378682896379524	0.0	extreme	0.0025235448040043574	gene_dens_25	mean
phyloP100	0.0	0.376150022493496	False	-0.08758992171752952	-0.1229380974675536	-0.035612582466949046	0.0019438350020710457	-0.061442195008867315	0.2973577844311377	-0.061588567749566336	0.14800000000000002	1336	1340	5000	(-0.165814, -0.02137138]	4.439131385720981	0.21871582565224185	extreme	0.03813509313015194	gene_dens_25	mean
phyloP100	0.0	0.1780321266134762	False	-0.1493479440878005	-0.19032331716592443	-0.09275937055530852	-0.050367858778417256	-0.12121388965492515	0.04860644677661169	-0.12116642060031078	-0.036000000000000004	1334	1339	5000	(-0.02137138, -0.011714439999999998]	4.46576215582894	0.2460456942003515	extreme	0.04215704716555531	gene_dens_25	mean
phyloP100	0.0	0.2079601083164032	False	-0.17056705514910364	-0.20845713474879007	-0.11643938574238974	-0.07685266533964014	-0.1436079699240669	0.05475991024682124	-0.1439226027881397	-0.009000000000000001	1337	1339	5000	(-0.011714439999999998, 0.01125456]	5.382139973082099	0.21534320323014802	extreme	0.039808208193703926	gene_dens_25	mean
phyloP100	0.0	0.31615896949465433	False	-0.14786349726747988	-0.18799135953957163	-0.08849405703064972	-0.048608856614372795	-0.11799752102336651	0.1835785123966942	-0.11783224750121601	0.081	1331	1339	5000	(0.01125456, 0.020109940000000003]	4.008118126272913	0.3869653767820774	extreme	0.04300283771216953	gene_dens_25	mean
phyloP100	0.0	0.41733744437111125	False	-0.090518049166327	-0.12961931635886165	-0.03752337435015871	-0.0005163149962320433	-0.06442643623603324	0.33366118175018694	-0.06391639266817836	0.177	1337	1340	5000	(0.020109940000000003, 0.141562]	4.36479088639201	0.12484394506866417	extreme	0.03891375639921899	gene_dens_25	mean
xpehh_afr2_eas	0.2308	0.0229964110774187	False	-0.12433979054574329	-0.15502544127410464	-0.07880585352075618	-0.045880903711058386	-0.10115394111830692	-0.07633899605443119	-0.10144315496001813	0.0114575268242677	1319	1340	5000	(-0.165814, -0.02137138]	13.55411966880175	1.7028589282924542	extreme	0.03358206267229418	gene_dens_25	mean
xpehh_afr2_eas	0.0024	0.09970114411504964	False	-0.2291764300923656	-0.26494827275103516	-0.17841694860602317	-0.14150801074880917	-0.20335154373412292	-0.0957661293974514	-0.2037066526359666	-0.115160682865834	1316	1339	5000	(-0.02137138, -0.011714439999999998]	14.801951962507323	2.0035149384885766	extreme	0.0375728318703476	gene_dens_25	mean
xpehh_afr2_eas	0.4128	0.007223732619545145	False	-0.26851321523517147	-0.307928009325861	-0.21788586916687774	-0.18090018697085442	-0.24353930543390334	-0.23574432701285047	-0.24360529084889673	-0.26783470362654693	1318	1339	5000	(-0.011714439999999998, 0.01125456]	16.155913862718705	2.570659488559892	extreme	0.038517679029398635	gene_dens_25	mean
xpehh_afr2_eas	0.0038	0.09385010422509746	False	-0.24514373428902064	-0.2820245458176656	-0.192998082567669	-0.15604812508006696	-0.21882128701456213	-0.11754960715354021	-0.2187266680500592	-0.0873243153867137	1315	1339	5000	(0.01125456, 0.020109940000000003]	14.505260692464358	2.230142566191446	extreme	0.03840921223320299	gene_dens_25	mean
xpehh_afr2_eas	0.0812	0.04436543890952235	False	-0.1370770056770162	-0.1694550250214256	-0.09156972534752007	-0.056929540883100094	-0.11379945068088107	-0.06592563569435107	-0.11403531545311688	0.00794702867386898	1322	1340	5000	(0.020109940000000003, 0.141562]	13.409213483146068	2.403245942571785	extreme	0.03424572123288369	gene_dens_25	mean
linsigh	0.0	0.7560994446841002	False	0.09048238622724375	0.08717302879652927	0.09547479022031533	0.09926987430263863	0.09307716116744771	0.16124537163833075	0.09298476783942611	0.052640199999999984	1294	1340	5000	(-0.165814, -0.02137138]	3.8687111388845494	2.015310107795657	extreme	0.0037301529353821208	gene_dens_25	mean
linsigh	0.0	0.5866440839774509	False	0.0997528992911992	0.09593394347605017	0.1051987653150115	0.10905204499781031	0.1024577605982729	0.1553482602134146	0.1024095520610683	0.0591778	1312	1339	5000	(-0.02137138, -0.011714439999999998]	3.9022612770943175	1.265377855887522	extreme	0.0039805890018022394	gene_dens_25	mean
linsigh	0.0	0.5446504059378706	False	0.09298664108219372	0.08930712050120607	0.09814025231183077	0.10182192787666813	0.09557544796673519	0.14467989284638555	0.09557406851068712	0.057659749999999996	1328	1339	5000	(-0.011714439999999998, 0.01125456]	4.75978734858681	0.8613728129205921	extreme	0.0038438104590864095	gene_dens_25	mean
linsigh	0.0	0.6312874173155563	False	0.10431420517422198	0.10036323497110118	0.10983860254325321	0.11414919359445277	0.10707751200179091	0.16399295326251898	0.10695621986506745	0.06207290000000001	1318	1339	5000	(0.01125456, 0.020109940000000003]	3.4938574338085537	1.2321792260692463	extreme	0.004184649560735117	gene_dens_25	mean
linsigh	0.0	0.5368845525760516	False	0.09226309874805258	0.08871936181018601	0.09730454111000629	0.101152519048864	0.09482743495530743	0.1432317281152648	0.09472748784848203	0.053966850000000004	1284	1340	5000	(0.020109940000000003, 0.141562]	3.8328807740324593	2.278401997503121	extreme	0.0037461673188554944	gene_dens_25	mean
fst_eas_afr	0.185	0.025955012898345623	False	0.09480858130281355	0.0908398829801061	0.10033821155807904	0.10448045066646364	0.09757611591976965	0.10126778437601573	0.09755799834535908	0.028269	763	1340	5000	(-0.165814, -0.02137138]	14.746939540696765	15.763162005936573	extreme	0.004149243116921184	gene_dens_25	mean
fst_eas_afr	0.0	0.1110569894085846	False	0.14071212078556014	0.13675167980599442	0.14634796988627385	0.1504693312983841	0.14352795277110525	0.15932396051153905	0.14344284731475376	0.104164	1267	1339	5000	(-0.02137138, -0.011714439999999998]	4.318847100175747	1.1013473930872877	extreme	0.0041665899019383565	gene_dens_25	mean
fst_eas_afr	0.0	0.1637887402275509	False	0.15961999665310994	0.15550731198761977	0.16562554777061939	0.16995027336404311	0.16263596898353258	0.18593219033986538	0.16256380017857172	0.131671	1337	1339	5000	(-0.011714439999999998, 0.01125456]	4.266018842530283	0.06729475100942127	extreme	0.004431407156960454	gene_dens_25	mean
fst_eas_afr	0.0006	0.09988514695250976	False	0.14596960030116984	0.14208119687325765	0.15161551539141654	0.15569860760961526	0.14883423752559785	0.16304123667818113	0.1488078383455116	0.112227	1281	1339	5000	(0.01125456, 0.020109940000000003]	3.574961303462322	0.7739307535641547	extreme	0.004180929513722095	gene_dens_25	mean
fst_eas_afr	0.472	0.0017109360861848706	False	0.10007470391539228	0.09619475999785752	0.10552205993569355	0.10989267749761411	0.10281667967533144	0.10306003184798339	0.10278040185718886	0.0302585	843	1340	5000	(0.020109940000000003, 0.141562]	13.150205992509365	11.719725343320848	extreme	0.004143596365596125	gene_dens_25	mean
fst_eur_eas	0.0514	0.03155346708749295	False	0.044382430143375645	0.042824157235317926	0.04674305784498693	0.04852617589138688	0.04559490406170638	0.04851145126776119	0.04554437038064943	0.0268492	1340	1340	5000	(-0.165814, -0.02137138]	3.173054210279644	0.0	extreme	0.001732302631822886	gene_dens_25	mean
fst_eur_eas	0.0	0.12565500896367926	False	0.08317644350771926	0.08065616252150574	0.08668287417952385	0.08929834478305307	0.08494657741159584	0.09656110979574307	0.08492529660877048	0.0645102	1339	1339	5000	(-0.02137138, -0.011714439999999998]	3.288698301113064	0.0	extreme	0.0026055376638465925	gene_dens_25	mean
fst_eur_eas	0.0	0.14105872939031536	False	0.09527704109662641	0.09241435878294683	0.0992681410274533	0.10220255233364661	0.09727929300448407	0.11031762067707244	0.09723032734634682	0.07327230000000001	1339	1339	5000	(-0.011714439999999998, 0.01125456]	4.239849259757738	0.0	extreme	0.002965684623203091	gene_dens_25	mean
fst_eur_eas	0.0008	0.09088674803635688	False	0.08598841911921999	0.08348501586092152	0.0895151144499819	0.09219290780133332	0.08777928801408375	0.09618012365974608	0.08773689616685146	0.0673536	1339	1339	5000	(0.01125456, 0.020109940000000003]	2.857747454175153	0.0	extreme	0.002643141902732515	gene_dens_25	mean
fst_eur_eas	0.0292	0.038150458018060975	False	0.048589371013121024	0.046852768143789233	0.05103220390294996	0.05290707356033977	0.04982628335213967	0.05335260302514926	0.0498112236532487	0.0308459	1340	1340	5000	(0.020109940000000003, 0.141562]	3.1433988764044942	0.0	extreme	0.0018265600535295942	gene_dens_25	mean
