annotation	emp_pval	enrich_per_mean_diff_by_genomstd	error	matched_25th	matched_5th	matched_75th	matched_95th	mean_matched_across_trait_loci	mean_trait_loci	median_matched_loci	median_trait_loci	n_lead_loci_final	n_lead_snp	n_matched_sets	partition_id	percent_matched_and_ld_removed	percent_trait_and_ld_snps_removed	regions_summary	std_matched_across_trait_loci	trait_name	trait_summary
phastCon100	0.0	0.4756455559205971	False	0.11984254845812982	0.11284536935422253	0.12945603231202282	0.13648782341674015	0.1246764345224056	0.21454793233082706	0.12462636514719848	0.012	1064	1067	5000	(-0.13232, -0.0234591]	5.135612411540555	0.21774632553075668	extreme	0.0071754638415426	gene_dist_10_per	mean
phastCon100	0.0	0.5476440125844264	False	0.1548847173207952	0.1477282331292749	0.1652084807643975	0.1729063668726382	0.16010429751971406	0.26357964184731386	0.1600057061663498	0.021	1061	1066	5000	(-0.0234591, -0.012675019999999999]	4.412005329780146	0.2498334443704197	extreme	0.007593267480122258	gene_dist_10_per	mean
phastCon100	0.0	0.3954138619374627	False	0.1576525875002578	0.15024128391861313	0.1678926382993901	0.1760314063445013	0.1628349814381218	0.237546992481203	0.16268791312559017	0.0175	1064	1066	5000	(-0.012675019999999999, 0.011645920000000002]	4.9742001295336795	0.27525906735751293	extreme	0.007795828556376586	gene_dist_10_per	mean
phastCon100	0.0	0.5134327422585523	False	0.17068845057034218	0.16326120819452353	0.1812666344887519	0.18872656904443633	0.17603870364442295	0.27304995287464656	0.17611232321253845	0.024	1061	1066	5000	(0.011645920000000002, 0.02182904000000001]	3.9915887062789714	0.21070375052675938	extreme	0.007777182795970059	gene_dist_10_per	mean
phastCon100	0.0	0.5520984967086057	False	0.12461549574536837	0.11799324655737996	0.13405749551345242	0.14126155218194877	0.12940574145955838	0.23372274436090223	0.12924100913613815	0.01	1064	1067	5000	(0.02182904000000001, 0.141562]	4.786623826000989	0.17301038062283738	extreme	0.007119709988668248	gene_dist_10_per	mean
argweave	0.0094	-0.05760641129449278	False	54343.78357229752	53430.40185761278	55627.34889140179	56621.821453239434	54998.260368088675	52812.259372071225	54990.368787735184	47176.6	1067	1067	5000	(-0.13232, -0.0234591]	4.154414806750136	0.0	extreme	964.6517267903212	gene_dist_10_per	mean
argweave	0.0154	-0.0543376160097884	False	60476.4278006046	59527.93904673564	61817.95486832848	62836.60205244088	61152.51733323254	59090.55790806754	61129.2938769833	53059.9	1066	1066	5000	(-0.0234591, -0.012675019999999999]	3.4770019986675553	0.0	extreme	1005.504318223827	gene_dist_10_per	mean
argweave	0.1322	-0.029998493867157187	False	63587.61650797373	62678.26878951899	64942.491580876595	65958.85138266577	64273.89346818779	63135.535150093805	64270.42975531638	56449.8	1066	1066	5000	(-0.012675019999999999, 0.011645920000000002]	4.059057642487047	0.0	extreme	1015.5090565401722	gene_dist_10_per	mean
argweave	0.0096	-0.0639474471929409	False	62075.856169497696	61019.92182270168	63435.750832060156	64475.724232227105	62756.125084966996	60329.499643192496	62748.13589512301	54132.1	1065	1066	5000	(0.011645920000000002, 0.02182904000000001]	3.0388144402303694	0.014046916701783959	extreme	1040.9398842768203	gene_dist_10_per	mean
argweave	0.024	-0.04941222689580655	False	54697.211832976434	53758.248092575195	55994.37511888304	56969.98691164312	55351.31315539241	53476.25836925961	55332.753769920055	47753.5	1067	1067	5000	(0.02182904000000001, 0.141562]	3.792743450321305	0.0	extreme	975.4099646584531	gene_dist_10_per	mean
